ISO_SLUG,CAS (Unique),CAS (Shared for Isotopologues)
12C-12C-13C,,12075-35-3
12C-13C-12C,,12075-35-3
12C-14N,2074-87-5,2074-87-5
12C-16O,630-08-0,630-08-0
12C-16O2,124-38-9,124-38-9
12C-17O2,1173018-47-7,124-38-9
12C-18O2,18983-82-9,124-38-9
12C-1H,3315-37-5,3315-37-5
12C-1H3,2229-07-04,2229-07-04
12C-1H3-19F,593-53-3,593-53-3
12C-1H3-35Cl,74-87-3,74-87-3
12C-1H4,74-82-8,74-82-8
12C-31P,12326-85-1,12326-85-1
12C-32S,2944-05-0,2944-05-0
12C2,12070-15-4,12070-15-4
12C2-1H2,74-86-2,74-86-2
12C2-1H4,74-85-1,74-85-1
12C3,12075-35-3,12075-35-3
13C-16O,1641-69-6,630-08-0
13C-16O2,1111-72-4,124-38-9
13C-17O2,75042-80-7,124-38-9
13C-18O2,2684-00-6,124-38-9
14N-16O,10102-43-9,10102-43-9
14N-1H,13774-92-0,13774-92-0
14N-1H3,7664-41-7,7664-41-7
14N-1H2-2H,13587-49-0,13587-49-0
14N-2H2-1H,13780-28-4,13780-28-4
14N-32S,12033-56-6,12033-56-6
14N2-16O,10024-97-2,10024-97-2
14N2-17O,,10024-97-2
14N2-18O,,10024-97-2
14N-15N-16O,,10024-97-2
15N-14N-16O,,10024-97-2
15N-1H3,13767-16-3,13767-16-3
16O-12C-17O,,124-38-9
16O-12C-18O,,124-38-9
16O-13C-17O,,124-38-9
16O-13C-18O,,124-38-9
16O-12C-32S,463-58-1,463-58-1
16O-1H,3352-57-6,3352-57-6
16O-1H_p,,3352-57-6
17O-12C-18O,,124-38-9
17O-13C-18O,,124-38-9
1H-12C-14N,74-90-8,74-90-8
1H-14N-16O3,7697-37-2,7697-37-2
1H-19F,7664-39-3,7664-39-3
1H-2H_p,12184-90-6,12184-90-6
1H-79Br,10035-10-6,10035-10-6
1H2-12C-16O,50-00-0,50-00-0
1H2-12C-32S,865-36-1,865-36-1
1H2-16O,7732-18-5,7732-18-5
1H2-16O2,7722-84-1,7722-84-1
1H2-32S,7783-06-04,7783-06-04
1H3_p,28132-48-1,28132-48-1
1H3-16O_p,13968-08-06,13968-08-06
23Na-16O-1H,1310-73-2,1310-73-2
23Na-19F,7681-49-4,7681-49-4
23Na-1H,7646-69-7,7646-69-7
23Na-35Cl,7647-14-5,7647-14-5
24Mg-16O,1309-48-4,1309-48-4
24Mg-1H,14332-53-7,14332-53-7
25Mg-1H,,14332-53-7
26Mg-1H,,14332-53-7
27Al-16O,14457-64-8,14457-64-8
27Al-19F,13595-82-9,13595-82-9
27Al-1H,13967-22-1,13967-22-1
27Al-35Cl,13595-81-8,13595-81-8
28Si-16O,10097-28-6,10097-28-6
28Si-16O2,,
28Si-1H,13774-94-2,13774-94-2
28Si-1H2,13825-90-6,13825-90-6
28Si-1H4,7803-62-5,7803-62-5
28Si-32S,12504-41-5,12504-41-5
31P-14N,17739-47-8,17739-47-8
31P-15N,,17739-47-8
31P-16O,14452-66-5,14452-66-5
31P-1H,13967-14-1,13967-14-1
31P-1H3,7803-51-2,7803-51-2
31P-32S,12281-36-6,12281-36-6
32S-16O,13827-32-2,13827-32-2
32S-16O2,7446-09-05,7446-09-05
32S-16O3,7446-11-9,7446-11-9
32S-1H,13940-21-1,13940-21-1
39K-19F,7789-23-3,7789-23-3
39K-35Cl,7447-40-7,7447-40-7
40Ca-16O,1305-78-8,1305-78-8
40Ca-16O-1H,12177-67-2,12177-67-2
40Ca-19F,13827-26-4,13827-26-4
40Ca-1H,14452-75-6,14452-75-6
40Ca-35Cl,15606-71-0,15606-71-0
40Ca-37Cl,,15606-71-0
45Sc-1H,33486-02-01,33486-02-01
46Ti-16O,,12137-20-1
47Ti-16O,,12137-20-1
48Ti-16O,12137-20-1,12137-20-1
48Ti-1H,13776-99-3,13776-99-3
49Ti-16O,,12137-20-1
4He-1H_p,13766-24-0,13766-24-0
50Ti-16O,,12137-20-1
51V-16O,12035-98-2,12035-98-2
52Cr-1H,13966-79-5,13966-79-5
56Fe-1H,15600-68-7,15600-68-7
6Li-16O-1H,,1310-66-3
75As-1H3,7784-42-1,7784-42-1
7Li-16O-1H,1310-66-3,1310-66-3
7Li-19F,7789-24-4,7789-24-4
7Li-1H,7580-67-8,7580-67-8
7Li-1H_p,,7580-67-8
7Li-35Cl,7447-41-8,7447-41-8
89Y-16O,12036-00-9,12036-00-9
9Be-1H,13597-97-2,13597-97-2
cis-31P2-1H2,41916-72-7,41916-72-7
trans-31P2-1H2,41916-72-7,41916-72-7
