iso_formula,iso_slug,inchi,inchikey,mass_in_Da,name,version,doi,max_temperature,num_pressure_broadeners,nxsec_files,nkcoeff_files,dipole_available,cooling_function_available,specific_heat_available,continuum,hyperfine_resolved_dataset
(27Al)(35Cl),27Al-35Cl,InChI=1S/Al.ClH/h;1H/q+1;/p-1/i2*1+0,IZMHKHHRLNWLMK-MHGBRSHDSA-M,61.95039131,YNAT,20221231,10.1093/mnras/stac3757,5000.0,0,0,0,False,False,False,False,False
(27Al)(37Cl),27Al-37Cl,InChI=1S/Al.ClH/h;1H/q+1;/p-1/i1+0;1+2,IZMHKHHRLNWLMK-WMSMEIEASA-M,63.94744122,YNAT,20221231,10.1093/mnras/stac3757,5000.0,0,0,0,False,False,False,False,False
(27Al)(19F),27Al-19F,InChI=1S/Al.FH/h;1H/q+1;/p-1/i2*1+0,APURLPHDHPNUFL-MHGBRSHDSA-M,45.97994185,MoLLIST,20221307,10.5281/zenodo.5716926,5000.0,0,0,0,False,False,False,False,False
(27Al)(1H),27Al-1H,InChI=1S/Al.H/i2*1+0,SPRIOUNJHPCKPV-MHGBRSHDSA-N,27.98936366,AloHa,20240307,10.1093/mnras/stad3802,5000.0,0,0,0,False,False,False,True,False
(27Al)(2H),27Al-2H,InChI=1S/Al.H/i1+0;1+1,SPRIOUNJHPCKPV-LFSUVYIMSA-N,28.99564041,AloHa,20240307,10.1093/mnras/stad3802,5000.0,0,0,0,False,False,False,False,False
(26Al)(16O),26Al-16O,InChI=1S/Al.O/i1-1;1+0,AIRCTMFFNKZQPN-KDQCXWKNSA-N,41.98180631,ATP,20210622,10.5281/zenodo.5716723,9000.0,0,0,0,False,False,False,False,False
(27Al)(16O),27Al-16O,InChI=1S/Al.O/i2*1+0,AIRCTMFFNKZQPN-MHGBRSHDSA-N,42.97645325,ATP,20210622,10.5281/zenodo.5716725,9000.0,0,0,0,False,False,True,False,False
(27Al)(17O),27Al-17O,InChI=1S/Al.O/i1+0;1+1,AIRCTMFFNKZQPN-LFSUVYIMSA-N,43.98067033,ATP,20210622,10.5281/zenodo.5716727,9000.0,0,0,0,False,False,False,False,False
(27Al)(18O),27Al-18O,InChI=1S/Al.O/i1+0;1+2,AIRCTMFFNKZQPN-WMSMEIEASA-N,44.98069963,ATP,20210622,10.5281/zenodo.5716729,9000.0,0,0,0,False,False,False,False,False
(75As)(1H)3,75As-1H3,InChI=1S/AsH3/h1H3/i1+0,RBFQJDQYXXHULB-IGMARMGPSA-N,77.9450716,CYT18,20181113,10.5281/zenodo.5716840,300.0,0,0,0,False,False,True,False,False
(9Be)(1H),9Be-1H,InChI=1S/Be.H/i2*1+0,AYBCUKQQDUJLQN-MHGBRSHDSA-N,10.02000723,Darby-Lewis,20180212,10.5281/zenodo.5362917,5000.0,0,0,0,False,False,True,False,False
(9Be)(2H),9Be-2H,InChI=1S/Be.H/i1+0;1+1,AYBCUKQQDUJLQN-LFSUVYIMSA-N,11.02628398,Darby-Lewis,20180212,10.5281/zenodo.5362921,5000.0,0,0,0,False,False,False,False,False
(9Be)(3H),9Be-3H,InChI=1S/Be.H/i1+0;1+2,AYBCUKQQDUJLQN-WMSMEIEASA-N,12.02823148,Darby-Lewis,20180212,10.5281/zenodo.5362923,5000.0,0,0,0,False,False,False,False,False
(12C)(13C),12C-13C,"InChI=1S/C2/c1-2/i1+0,2+1",LBVWYGNGGJURHQ-DZEMCFCNSA-N,25.00335484,8states,20200824,10.5281/zenodo.5716928,8000.0,0,0,0,False,False,False,False,False
(12C)2,12C2,"InChI=1S/C2/c1-2/i1+0,2+0",LBVWYGNGGJURHQ-ZCWHFVSRSA-N,24.0,8states,20200628,10.5281/zenodo.5716930,8000.0,0,0,0,False,False,True,False,False
(13C)2,13C2,"InChI=1S/C2/c1-2/i1+1,2+1",LBVWYGNGGJURHQ-ZDOIIHCHSA-N,26.00670968,8states,20201108,10.5281/zenodo.5716932,8000.0,0,0,0,False,False,False,False,False
(12C)2(1H)2,12C2-1H2,InChI=1S/C2H2/c1-2/h1-2H,HSFWRNGVRCDJHI-UHFFFAOYSA-N,26.01565006,aCeTY,20220918,10.5281/zenodo.5716842,2200.0,2,0,0,False,False,True,False,False
